Pager usage is off.
Output format is csv.
sku,prod,stk,ss,val,pos,clk,cost30,vende_rete,prot_stock,categoria
989409103,"ISOMAR OCCHI RO AI 0,20% 10FL",130,964,4.39,4,4,1.11,t,t,HELD_rete_pos
049990017,VAGISIL ANTIMICOTICO*CR 30G 2%,17,155,8.54,1,4,1.11,f,f,HELD_basket
943317572,ENERPLUS REINTEGRA 20BUST,0,304,11.93,4,4,1.11,t,f,HELD_rete_pos
988775843,BAKEL S-MASK 3PZ 10G,1,0,31.00,1,4,1.11,f,f,HELD_basket
934408663,BIOTHYMUS AC ACT D SH VOL200ML,4,152,7.88,3,4,1.11,f,f,MAGAZZINO_netto
983660806,MERIDOL COLLUTORIO PROT COMPLE,7,235,4.09,1,4,1.11,t,t,HELD_rete_pos
970357036,AZULENE GTT OCULARI 10ML,0,201,15.08,2,4,1.11,f,f,HELD_basket
933060790,VITIS ORTHO DENTIFRICIO 100ML,6,204,5.28,1,4,1.11,t,f,HELD_rete_pos
981974367,BIOKILL PIRETRO NATURALE 375ML,0,146,16.39,5,4,1.11,t,f,HELD_rete_pos
025647013,TROSYD*CREMA DERM 30G 1%,20,648,7.94,6,4,1.11,t,f,HELD_rete_pos
922249141,MEPILEX BORDER SACRUM 15X15 5P,0,26,51.41,5,4,1.11,t,f,HELD_rete_pos
980475356,FAVE DI FUCA 40CPR SENNA,23,2259,6.47,7,4,1.11,t,f,HELD_rete_pos
033656416,ENANTYUM*10BS SOLUZ 25MG 10ML,20,150,4.28,3,4,1.11,t,t,HELD_rete_pos
950247991,SINERCI VITAMINA C SINER 2VASI,6,59,34.14,1,4,1.11,t,f,HELD_rete_pos
983784137,EVOTON 30CPR,0,25,21.97,9,4,1.11,t,f,HELD_rete_pos
025561010,SOFARGEN*CREMA 30G 1%,6,365,8.11,7,4,1.11,f,f,HELD_basket
951189644,PERIOAID PROTECT GEL CLX+IALUR,6,155,7.91,2,4,1.11,f,t,MAGAZZINO_netto
936048178,EUPH COLORPRO XD830 BIO DO,4,24,6.70,7,4,1.11,f,f,MAGAZZINO_netto
984361319,PPM COLLAGEN+ 30BUST,0,57,43.64,1,4,1.11,t,f,HELD_rete_pos
950038481,DERMOVITAMINA ONICOMICOS PATCH,10,106,8.82,4,4,1.11,f,t,MAGAZZINO_netto
983466362,DONNA PIU' 60CPS,0,12,8.62,5,4,1.11,f,f,GROSSISTA_netto
920014040,SOMNOFIT ANTIRUSSAMENTO 1PZ,0,29,53.70,9,4,1.11,t,f,HELD_rete_pos
979356019,REPIGMA CREAM 100ML,0,8,22.04,1,4,1.11,f,f,GROSSISTA_netto
004758025,PURSENNID*40CPR RIV 12MG,68,847,8.44,2,4,1.11,t,t,HELD_basket
989893375,VIVIVEN 28CPR,0,439,25.46,10,4,1.11,t,f,HELD_basket
025915012,SKINOREN*CREMA 30G 20%,0,79,16.86,4,4,1.11,t,f,HELD_basket
987437237,POLASE LIMONE 12BUST PROMO,8,204,5.94,4,4,1.11,t,f,HELD_rete_pos
951028707,CRIPTOGEL GEL UNGUEALE 10ML,0,97,10.81,2,4,1.11,f,f,HELD_basket
935611121,ENSURE ADVANCE CIOCCOLATO 850G,0,121,31.47,8,4,1.11,f,f,GROSSISTA_netto
926593601,ESI DIURERBE FORTE ANAN24POCK,12,193,11.09,4,4,1.11,f,t,HELD_basket
989264066,VAGISIL DETERGENTE ODOR OFS,11,0,4.78,1,4,1.11,f,f,MAGAZZINO_netto
032056020,"EUCLORINA*POLV SOL 10BUST 2,5G",9,757,7.89,7,4,1.11,t,f,HELD_rete_pos
944742004,MULTIVITAMIX VITAMINA D2000 UI,7,192,4.03,2,4,1.11,t,t,HELD_rete_pos
977793470,LEIS COLLARE BARRI CANE 35CM S,0,23,7.15,5,4,1.11,t,f,HELD_rete_pos
926548278,LIPOTECH 400 30CPR,0,26,18.17,9,4,1.11,f,f,GROSSISTA_netto
989810104,SENSODYNE EP SOLLIEVO IMMEDIAT,17,880,4.29,4,4,1.11,t,f,HELD_basket
980774677,COLPHARMA EASY 2 KIT COMPL AER,13,5,4.98,4,4,1.11,f,f,HELD_basket
941181568,LONGLIFE B12 1000MCG 60TAV,0,577,16.20,8,4,1.11,t,f,HELD_basket
988148146,CLAREMASE ORALE 20FL,25,1122,13.70,1,4,1.11,t,t,HELD_basket
987025665,PIC EASY WASH PERA CAN 224ML,0,55,6.90,8,4,1.11,f,f,GROSSISTA_netto
942224445,SIDERAL ORO 14MG 20BUST,0,465,19.59,6,4,1.11,t,f,HELD_rete_pos
988896825,GSE EYE BABY SPRAY 10ML,9,3,9.10,5,4,1.11,f,f,MAGAZZINO_netto
988922807,EMOFORM DENT CREMA ADES 45G TP,0,34,5.06,4,4,1.11,t,f,HELD_basket
987403805,PARANIX SHAMPOO TRATT TP 200ML,0,183,13.89,8,4,1.11,t,f,HELD_rete_pos
984177713,ACUTIL ADULTI 55+ 24CPR,10,185,11.69,3,4,1.11,t,f,HELD_basket
933622654,FLAVOFORT 1500 30BUST,3,174,16.89,1,4,1.11,t,f,HELD_rete_pos
935952919,SOLVHOREN RETARD 60CPR,0,22,16.11,2,4,1.11,f,f,GROSSISTA_netto
982684413,CH TIRALATTE ELETTRICO,0,60,107.52,7,4,1.11,f,f,GROSSISTA_netto
927300689,INTERPROX4G NANO BLISTER 6U 6L,3,231,5.47,1,4,1.11,f,f,MAGAZZINO_netto
977671243,DERMOVITAMINA VERRUCHE 2ML,10,149,9.72,7,4,1.11,t,f,HELD_basket
005556016,ORTODERMINA*CREMA 50G 5%,0,220,10.43,4,4,1.11,t,f,HELD_rete_pos
934028743,DERMOVITAMINA MICO PIEDE ATLET,14,89,8.48,5,4,1.11,t,f,HELD_rete_pos
042844062,NUROFEN FEBBRE D*200MG/5ML ARA,4,0,13.81,2,4,1.11,f,f,HELD_basket
924531116,DEODORANTE BELLEZZA ROLL-ON,14,332,8.31,1,4,1.11,f,f,MAGAZZINO_netto
925700890,HYPERMIX CREMA/GEL 30ML,0,324,10.40,3,4,1.11,t,f,HELD_rete_pos
950304117,PODOKER 40 GEL 40ML,0,221,11.03,5,4,1.11,t,f,HELD_rete_pos
935229082,TIMODORE CREMA DEO 48H 50ML,0,172,5.84,11,3,0.84,f,f,HELD_basket
948004799,PINEAL NOTTE RETARD 30CPR,0,198,21.07,7,3,0.84,t,f,HELD_rete_pos
980860290,DROPSEPT SOLUZIONE OFTALMICA,0,391,15.61,9,3,0.84,t,f,HELD_rete_pos
971357393,MEDI 18 COLL P AP NAT 6 1405PA,5,2,24.19,1,3,0.84,f,t,MAGAZZINO_netto
934545450,PRINCIPIUM COMPLESSO B FT 60CP,0,529,14.10,9,3,0.84,t,f,HELD_basket
941190718,PRINCIPIUM D3 2000 GOCCE 50ML,0,145,14.87,8,3,0.84,t,f,HELD_rete_pos
950125777,EDEMASE 20CPR,0,243,20.45,7,3,0.84,t,f,HELD_rete_pos
987400874,ANTHELIOS POST UV EXPOSUR200ML,6,171,11.34,4,3,0.84,t,t,HELD_rete_pos
978266207,PROSTAT ACT 60CPR,0,407,10.55,4,3,0.84,t,f,HELD_rete_pos
908174117,CALMOR TAPPO ANTIS 20PZ 22043,20,457,11.85,4,3,0.84,t,f,HELD_basket
