minsan;nome;categoria;prezzo;domanda_rete_30g;best_mercato
905603092;AMINOGAM GEL 15ML;Patologie di bocca e labbra,Disinfettanti e medicazioni;14.61;3.00;16.03
981365392;MUSTELA TALCO NON TALCO SPRAY;Protettivi per la pelle;12.49;3.00;10.59
938699182;OTOBOR SPR AURIC 50ML;Orecchio;11.26;3.00;12.24
973915818;CICAPLAST GEL B5 40ML;Dermatologici,Acne;11.21;3.00;13.07
931340780;PHYSIOMER CSR SPRAY NAS GET NO;Soluzioni fisiologiche;10.47;3.00;10.64
939464362;RINOREX FLU SPR NASALE 50ML;Naso;10.39;3.00;11.29
941973190;PROPOLIS BOIRON 60ML;Sistema immunitario;10.36;3.00;10.89
931382752;BIO OIL OLIO CURA PELLE 60ML;Corpo;10.20;3.00;10.83
925329536;ALOEVERA2 GEL PRIMITIVO D'ALOE;Idratanti;8.26;3.00;7.63
987032885;BALSAMO SIFCAMINA NEO CORPO;Idratanti;8.19;3.00;11.98
037858014;MOMENTACT ANALGESICO*12BUST;Apparato muscolo scheletrico,Analgesici;6.72;3.00;7.38
989014156;PHARMAMENTIS BORSA GHIACCIO;Ghiaccio istantaneo;5.82;3.00;6.41
901488104;MANOPOLA PRESAPONATA MON 20PZ;Igiene,Dispositivi per disabili;5.75;3.00;5.97
903760991;GUM PULISCILINGUA HALICONTROL;Alito;4.66;3.00;4.82
908546652;UNGHAISIL INDURENTE UNGHIE;Unghie;4.37;3.00;3.45
902305438;PIC SPORT TAPPO AURIC SIL 6PZ;Orecchio;4.19;3.00;4.52
902224195;GUM RED-COTE RIV PLACCA 12PAST;Accessori per la pulizia dei denti;4.02;3.00;4.41
041962010;ASPIRINA DOLORE INF*8CPR 500MG;Febbre,Analgesici;3.98;3.00;4.31
931988808;MEDS OVATTA EMOSTATICA TUBO;Cotone e tamponi;3.97;3.00;3.98
911464927;CER ROC SOFT FIX 2,5X500CM F;Cerotti;3.83;3.00;4.35
908585223;M-AID ELASTINA BRACCIO/PIEDE;Bende e garze;3.65;3.00;3.24
901488155;PRONTEX QUICK COLD GH ISTANT2P;Ghiaccio istantaneo;3.59;3.00;3.96
901178970;PARAC CICCARELLI INTERDIG 9PZ;Piedi;3.57;3.00;3.34
926522602;CER PIC SOFFIX MED 15X8 5PZ;Cerotti;3.51;3.00;4.67
943167268;ROUGJ MASCARA EV EXTRA VOLUME;Trucco;3.24;3.00;3.35
901178879;CALLIFUGO CICCARELLI +PENNELLO;Dermatologici,Piedi;3.23;3.00;3.24
946434584;ROUGJ MATITA OCCHI NE TEMPERAB;Trucco;3.18;3.00;3.19
908834738;PL3 SPECIAL PROTECTOR STICK4ML;Protettivi per labbra;3.05;3.00;3.12
987323250;IRILENTI PLUS 100ML;Lenti a contatto;2.98;3.00;3.08
981354071;TAUMARIN SPAZZ PROF27 MOR ANTI;Spazzolini;2.54;3.00;2.85
926646946;BENDA PIC B CM8X4,5M F;Bende e garze;2.20;3.00;1.55
909286217;ZIGULI ARANCIA 36PALLINE 22G;Alimentari;1.99;3.00;2.00
986718904;CEROTTO DEL 50X8 SOFARMAPIU';Cerotti;1.87;3.00;1.76
986718854;CEROTTO CICAT 7,5X5 SOFARMAPIU;Cerotti;1.53;3.00;1.76
909847182;CATETERE FOLEY CH14 P/C 2V 1PZ;Cateteri e altri accessori;1.50;3.00;1.69
032182026;SODIO CLORURO EUROS*0,9% 250ML;Soluzioni fisiologiche;1.39;3.00;1.24
980078620;AGAMORIN PLUS 60BUST;Digestivi;56.18;2.00;56.19
987963319;AGA PLUS 60CPS IRALTONE;Sistemici;31.98;2.00;29.40
938569086;ESTIA GOCCE 50ML;Apparato uro-genitale;21.14;2.00;23.89
971995093;NATALBEN SUPRA 30CPS MOLLI;Preparati;20.62;2.00;21.92
909609000;OLIO FEGATO MERLUZZO PURIS 1L;Mangimi;20.32;2.00;22.47
908772736;SELEN PET CANI GATTI 60PRL;Mangimi;20.31;2.00;20.41
975054735;EUCERIN AQUAPHOR TRATT RIPA;Idratanti / Nutrienti;19.58;2.00;19.59
935197715;NAUSIL FORTE 30ML;Apparato digerente;18.95;2.00;19.38
921723843;ALTOP 20CPR;Tonici psico/fisici;18.72;2.00;20.47
900278882;PREREID BUSTINE HUMANA 20PZ;Metabolismo;17.86;2.00;17.98
935609723;ENSURE PLUS FRAGOLA 4X200ML;Metabolismo;17.50;2.00;19.39
947057220;SPINOFF GOCCE 20ML;Calmanti;16.80;2.00;18.54
942578461;MICOSTOP EMULSIONE 125ML;Detergenti;15.39;2.00;18.09
926821265;DOAGYN OIL DETERGENTE 250ML;Detergenti;13.90;2.00;15.69
950257903;PREVITAMIN GOCCE 7,5ML;Preparati;13.89;2.00;14.22
979794082;MULTICENTRUM DONNA 30CPR;Associazioni minerali-vitamine,Tonici psico/fisici;13.82;2.00;16.21
931684676;DECODI FORTE 15ML;Associazioni minerali-vitamine;13.66;2.00;15.00
983792870;NODE DS+ SHAMPOO ANTIFORF125ML;Topici;13.64;2.00;11.45
985000809;ANTHELIOS GEL P BAGN BB 50+;Corpo,Corpo;13.52;2.00;15.48
935272866;SIMOPLIR 12BUST;Fermenti lattici;13.34;2.00;15.56
902552254;ANONET LIQ 150ML;Igiene;13.14;2.00;13.80
987715861;ANSIASIN 30CPR MASTICABILI;Calmanti;12.81;2.00;13.85
005647033;BECOZYM*20CPR GASTRORES;Vitamine;12.61;2.00;14.42
903468940;SEBIUM GEL MOUSSANT 200ML;Igiene;12.39;2.00;11.21
950019277;COLINOX GOCCE 20ML;Meteorismo,Infanzia;11.83;2.00;12.54
951044433;SOLUZIONE SCHOUM ADVANCE FORTE;Drenanti;11.54;2.00;11.26
924995057;BEPANTHENOL SENSIDERM CR 20G;Idratanti;11.29;2.00;15.49
